company,role,email,address,job_link
Acme Corp,Senior Software Engineer,hr@acme.com,"123 Main St, Boston,MA",https://acme.com/jobs/12345
Globex Inc.,Backend Lead,careers@globex.com,"987 Elm St, Seattle,WA",https://globex.com/jobs/98765
Initech,Full‑Stack Developer,apply@initech.com,"456 Oak St, Austin,TX",https://initech.com/jobs/45678
ACLU ,,,,
Common Cause ,,,,
Resonate ,,,,
Enspiral ,,,,
Workers Benefit Fund ,,,,
CoLab Coop ,,,,
Palante Technology Cooperative ,,,,
Agaric ,,,,
Legal Aid Society ,,,,
Northwestern Medicine ,,,,
Rush University Medical Center ,,,,
Stellantis ,,,,
Snowflake ,,,,
Datadog ,,,,
Stripe,,,,
Northern Trust ,,,,
Square ,,,,
ThoughtWorks ,,,,
West Monroe ,,,,
AbbVie ,,,,
Abbott ,,,,
Stellantis ,,,,
Honda ,,,,
Illinois Tool Works ,,,,
Emerson Electric ,,,,
Rockwell Automation ,,,,
Sunrun ,,,,
SunPower ,,,,
Bloom Energy ,,,,
Hyatt ,,,,
Salesforce ,,,,
UiPath ,,,,
MongoDB ,,,,
Allstate ,,,,
CommonSpirit Health ,,,,
Exelon ,,,,
Baker McKenzie ,,,,
Sidley Austin ,,,,
Grant Thornton ,,,,
Built Robotics ,,,,
Warby Parker ,,,,
Patagonia ,,,,
Hootsuite ,,,,
"Greenhouse - New York, NY ",,,,
New Relic ,,,,
Calendly ,,,,
Auth0 ,,,,
Rally ,,,,
Activate Consulting ,,,,
Wieden+Kennedy ,,,,
Social Driver ,,,,
Headspace ,,,,
Talkspace ,,,,
